Timestamp,Number of people
2018-07-11T14:53:15.674110Z,64
2018-07-11T15:03:22.409219Z,71
2018-07-11T15:13:29.154243Z,80
2018-07-11T15:23:36.786348Z,81
2018-07-11T15:33:43.673959Z,80
2018-07-11T15:43:54.513047Z,80
2018-07-11T15:54:01.440903Z,87
2018-07-11T16:04:09.905259Z,95
2018-07-11T16:14:16.844715Z,104
2018-07-11T16:24:24.392884Z,111
2018-07-11T16:34:31.477136Z,115
2018-07-11T16:44:43.026709Z,119
2018-07-11T16:54:50.316014Z,125
2018-07-11T17:04:58.749093Z,115
2018-07-11T17:15:05.998398Z,106
2018-07-11T17:25:13.572721Z,98
2018-07-11T17:35:20.351999Z,98
2018-07-11T17:45:28.520264Z,103
2018-07-11T17:55:35.504755Z,80
2018-07-11T18:05:42.477966Z,68
2018-07-11T18:15:49.396608Z,67
2018-07-11T18:25:56.492199Z,73
2018-07-11T18:36:03.305096Z,62
2018-07-11T18:46:10.666259Z,51
2018-07-11T18:56:17.367555Z,50
2018-07-11T19:06:24.712366Z,47
2018-07-11T19:16:31.556030Z,48
2018-07-11T19:26:38.578107Z,45
2018-07-11T19:36:45.243610Z,42
2018-07-11T19:46:55.854565Z,35
2018-07-11T19:57:02.918809Z,31
2018-07-11T20:07:09.795620Z,20
2018-07-11T20:17:16.390564Z,20
2018-07-11T20:27:23.509896Z,20
2018-07-11T20:37:30.398755Z,20
2018-07-11T20:47:41.362899Z,20
2018-07-11T20:57:48.303181Z,20
2018-07-11T21:07:55.834421Z,21
2018-07-11T21:18:02.699604Z,22
2018-07-11T21:28:09.796949Z,21
2018-07-11T21:38:17.137267Z,22
2018-07-11T21:48:38.582393Z,26
2018-07-11T21:58:45.470672Z,23
2018-07-11T22:08:52.226684Z,21
2018-07-11T22:19:00.572918Z,21
2018-07-11T22:29:09.540674Z,20
2018-07-11T22:39:17.019796Z,20
2018-07-11T22:49:27.679684Z,20
2018-07-11T22:59:34.358209Z,20
2018-07-11T23:09:41.271639Z,20
2018-07-11T23:19:48.160366Z,20
2018-07-11T23:29:55.297289Z,20
2018-07-11T23:40:02.061095Z,20
2018-07-11T23:50:12.308688Z,20
2018-07-12T00:00:21.541279Z,20
2018-07-12T00:10:28.291165Z,20
2018-07-12T00:20:35.120618Z,20
2018-07-12T00:30:43.658441Z,20
2018-07-12T00:40:52.957023Z,20
2018-07-12T00:51:03.051243Z,20
2018-07-12T01:01:10.044383Z,20
2018-07-12T01:11:16.946821Z,20
2018-07-12T01:21:24.354172Z,20
2018-07-12T01:31:31.975336Z,20
2018-07-12T01:41:43.162846Z,20
2018-07-12T01:51:53.753016Z,20
2018-07-12T02:02:00.632041Z,20
2018-07-12T02:12:07.663852Z,20
2018-07-12T02:22:14.738437Z,20
2018-07-12T02:32:21.936059Z,20
2018-07-12T02:42:28.555931Z,20
2018-07-12T02:52:39.687359Z,20
2018-07-12T03:02:46.367491Z,20
2018-07-12T03:12:53.431008Z,20
2018-07-12T03:23:00.239125Z,20
2018-07-12T03:33:09.087511Z,20
2018-07-12T03:43:15.734612Z,20
2018-07-12T03:53:26.591307Z,20
2018-07-12T04:03:33.713866Z,20
2018-07-12T04:13:40.708627Z,20
2018-07-12T04:23:47.905605Z,20
2018-07-12T04:33:55.111765Z,20
2018-07-12T04:44:01.886019Z,20
2018-07-12T04:54:13.613431Z,20
2018-07-12T05:04:21.506172Z,24
2018-07-12T05:14:28.579978Z,29
2018-07-12T05:24:35.924249Z,36
2018-07-12T05:34:42.833630Z,40
2018-07-12T05:44:49.538058Z,49
2018-07-12T05:55:00.113938Z,56
2018-07-12T06:05:09.204695Z,53
2018-07-12T06:15:16.177591Z,53
2018-07-12T06:25:23.640310Z,52
2018-07-12T06:35:31.397994Z,41
2018-07-12T06:45:38.567512Z,41
2018-07-12T06:55:51.174753Z,41
2018-07-12T07:05:58.178195Z,35
2018-07-12T07:16:05.910118Z,31
2018-07-12T07:26:13.159541Z,35
2018-07-12T07:36:20.421237Z,35
2018-07-12T07:46:27.273987Z,36
2018-07-12T07:56:37.890041Z,41
2018-07-12T08:06:45.204746Z,38
2018-07-12T08:16:52.465503Z,43
2018-07-12T08:26:59.921686Z,53
2018-07-12T08:37:07.581553Z,62
2018-07-12T08:47:16.543041Z,65
2018-07-12T08:57:27.515686Z,75
2018-07-12T09:07:34.422613Z,83
2018-07-12T09:17:41.938877Z,82
2018-07-12T09:27:49.775905Z,82
2018-07-12T09:37:57.466283Z,84
2018-07-12T09:48:04.356575Z,77
2018-07-12T09:58:15.053469Z,68
2018-07-12T10:08:22.433592Z,42
2018-07-12T10:18:32.155220Z,40
2018-07-12T10:28:39.758866Z,36
2018-07-12T10:38:46.995973Z,35
2018-07-12T10:48:54.787009Z,29
2018-07-12T10:59:09.908892Z,31
2018-07-12T11:09:17.559135Z,30
2018-07-12T11:19:25.524235Z,32
2018-07-12T11:29:32.652583Z,45
2018-07-12T11:39:39.594497Z,50
2018-07-12T11:49:46.523890Z,54
2018-07-12T11:59:57.814268Z,56
2018-07-12T12:10:05.664919Z,48
2018-07-12T12:20:12.311819Z,57
2018-07-12T12:30:19.571353Z,49
2018-07-12T12:40:26.658482Z,46
2018-07-12T12:50:33.550165Z,48
2018-07-12T13:00:44.587453Z,46
2018-07-12T13:10:52.364282Z,52
2018-07-12T13:21:00.057635Z,53
2018-07-12T13:31:07.554391Z,56
2018-07-12T13:41:15.261087Z,59
2018-07-12T13:51:23.007686Z,55
2018-07-12T14:01:36.021820Z,55
2018-07-12T14:11:42.859468Z,56
2018-07-12T14:21:49.688064Z,60
2018-07-12T14:31:57.165603Z,63
2018-07-12T14:42:04.183428Z,62
2018-07-12T14:52:12.630434Z,71
2018-07-12T15:02:23.107654Z,69
2018-07-12T15:12:48.658969Z,63
2018-07-12T15:22:56.565755Z,61
2018-07-12T15:33:04.956748Z,62
2018-07-12T15:43:13.393452Z,59
2018-07-12T15:53:28.291056Z,67
2018-07-12T16:03:38.964586Z,79
2018-07-12T16:13:46.151324Z,83
2018-07-12T16:23:53.945877Z,87
2018-07-12T16:34:00.805048Z,99
2018-07-12T16:44:07.897060Z,102
2018-07-12T16:54:15.570072Z,126
2018-07-12T17:04:27.075970Z,131
2018-07-12T17:14:34.713907Z,140
2018-07-12T17:24:42.584938Z,149
2018-07-12T17:34:49.621278Z,170
2018-07-12T17:44:57.556014Z,159
2018-07-12T17:55:05.268179Z,155
2018-07-12T18:05:12.751693Z,154
2018-07-12T18:15:20.363991Z,163
2018-07-12T18:25:26.970963Z,141
2018-07-12T18:35:33.771226Z,134
2018-07-12T18:45:40.632284Z,119
2018-07-12T18:55:47.503068Z,109
2018-07-12T19:05:57.810761Z,119
2018-07-12T19:16:05.375987Z,91
2018-07-12T19:26:21.319718Z,88
2018-07-12T19:36:28.025214Z,93
2018-07-12T19:46:36.382040Z,87
2018-07-12T19:56:43.607884Z,83
2018-07-12T20:06:54.506741Z,80
2018-07-12T20:17:01.422257Z,79
2018-07-12T20:27:10.186958Z,68
2018-07-12T20:37:17.434000Z,64
2018-07-12T20:47:25.597865Z,59
2018-07-12T20:57:32.693604Z,52
2018-07-12T21:07:44.128208Z,52
